time,q0,q1,q2,q3,pd_error_deg,ai_error_deg,tau_pd,tau_ai
32.58,0.8832829556756098,0.4661336797688608,0.044690802370187944,-0.023094262958770886,0.1415550224253603,55.91808747563976,0.0004637824912736775,5.91802e-07
32.6,0.8831913137892327,0.46630408540538487,0.04471591691626022,-0.023110386319464597,0.14694516587911638,55.940481996752744,0.0017037335609706619,5.978074e-07
32.62,0.8830985045118023,0.46647710224503824,0.04473595186850822,-0.02312658687548282,0.15230350210675275,55.963153396721346,0.0025434627889043345,5.9132987e-07
32.64,0.8830056867862289,0.4666510350207892,0.04474993417238913,-0.02313464952777908,0.1514601066813717,55.985818419973604,0.002647809317471016,5.938924e-07
32.660000000000004,0.8829154100950797,0.46681983791735254,0.04476602064965357,-0.023143485879373538,0.14853374977435096,56.00785486423026,0.002434439650473501,5.945193e-07
32.68,0.8828237670113187,0.46699011382444217,0.044790627511337916,-0.023156633548942217,0.14818900017649037,56.03021669599541,0.0013710948296537823,5.915209e-07
32.7,0.8827305741803203,0.4671627212879064,0.044822062835174765,-0.02316695770617687,0.14484398724850028,56.05294827370758,0.0011318749726827108,5.9067986e-07
32.72,0.8826389799028678,0.46733316178626694,0.044843441670786396,-0.023177851280795792,0.13991828158632016,56.0752816810113,0.00351727528187998,6.0144436e-07
32.74,0.8825495136104503,0.467499923163565,0.0448599936086875,-0.023189627885045357,0.13544623896717287,56.09708833449676,0.0020406203579180627,5.8784644e-07
32.76,0.8824596856615278,0.46766651251828745,0.04488209412031559,-0.023206332724394665,0.12686829389172052,56.11897530554048,0.0016319239692363047,5.958544e-07
32.78,0.8823751050000214,0.46782322550518723,0.044903146830873965,-0.02322307384497488,0.11950702163935539,56.139576585802814,0.0021054968481566357,5.8785105e-07
32.8,0.8822951831343453,0.46797119329059916,0.044923545458126914,-0.023238914165175067,0.11213526112677827,56.15903674498352,0.001275903947172365,5.909737e-07
32.82,0.8822170889771459,0.46811519328387685,0.044950954396777626,-0.0232504931626878,0.11002177159676735,56.178045893923255,0.003053330963694734,5.7758507e-07
32.84,0.8821342508592331,0.4682681261795732,0.044980121649796805,-0.023257560526855577,0.11974076365844212,56.19820332996557,0.003125596408282095,5.9060744e-07
32.86,0.8820431885599375,0.4684366968391989,0.04500560256299253,-0.023267365715551776,0.13978500428101273,56.22035433951898,0.0013268686687391933,5.897019e-07
32.88,0.8819540204928913,0.46860174957525724,0.04503081982758014,-0.023275121849065335,0.1314609843111769,56.24203681019073,0.002060415594046612,5.957246e-07
32.9,0.8818615349003975,0.4687728432260652,0.04505746009357712,-0.02328261168300921,0.14305345575577075,56.264517876311324,0.0034615482408638866,5.872427e-07
32.92,0.8817667641512528,0.4689477632725795,0.04508355118962483,-0.023298977917631285,0.14927950965780612,56.287545856273866,0.003515909053284482,6.0596517e-07
32.94,0.8816685858269683,0.4691293780030429,0.04510347554748307,-0.023319690261445356,0.1600317761746393,56.31139271033386,0.0040452505770070726,5.8809934e-07
