time,pd_error,lqr_error,hybrid_error,pd_tau,lqr_tau,hybrid_tau
9.48,9.74315072727781,10.27657387734705,13.585618605796396,0.0027457302802795995,0.4330127018922193,0.4330127018922193
9.5,9.746080609395422,10.26904339600621,13.577699562353505,0.0026954151945075555,0.4330127018922193,0.4329991303557202
9.52,9.746497591695437,10.26151214938872,13.569778861793628,0.005953087892356897,0.4330127018922193,0.4330127018922193
9.540000000000001,9.7425712367939,10.253977846316651,13.561863301363978,0.0028210706349447666,0.4330127018922193,0.4330000312699167
9.56,9.736771055823619,10.246442672191332,13.55394592831839,0.0035811265275343253,0.4330127018922193,0.4330127018922193
9.58,9.730276368213433,10.238904486191291,13.546033602873392,0.0007075343477204725,0.4330127018922193,0.4330015973949711
9.6,9.722735182431382,10.23136532483154,13.538119202592855,0.0027123524673528542,0.4330127018922193,0.4330127018922193
9.620000000000001,9.714861235615194,10.223823197930853,13.530210366065141,0.0022797532253627257,0.4330127018922193,0.4329994065007545
9.64,9.707160358413658,10.216279992844255,13.522299802611354,0.002340471174395706,0.4330127018922193,0.4330127018922193
9.66,9.698887099031959,10.20873387031633,13.514394768113897,0.0005655557352074617,0.4330127018922193,0.4330006433520942
9.68,9.6900313997311,10.201186568267783,13.506487801123136,0.0018895483575008488,0.4330127018922193,0.4330127018922193
9.700000000000001,9.680936997508194,10.19363639865749,13.4985865520397,0.002887621205277157,0.4330127018922193,0.4330005059240519
9.72,9.671162686834393,10.186084949693267,13.490683389547966,0.0033088773892299677,0.4330127018922193,0.4330127018922193
9.74,9.66229719627356,10.178530684839146,13.482786276615256,0.003838186363517407,0.4330127018922193,0.4329995090879322
9.76,9.655168942026398,10.170975042310928,13.474887411781573,0.0021373825600293577,0.4330127018922193,0.4330127018922193
9.78,9.647545912295827,10.163416637370633,13.466994709344268,0.002453527589240518,0.4330127018922193,0.43299987513206395
9.8,9.642176779852152,10.155856757959645,13.4591001963772,0.00440290418022257,0.4330127018922193,0.4330127018922193
9.82,9.63809832573832,10.148294171433216,13.45121212259292,0.002657028556615341,0.4330127018922193,0.43299925036335246
9.84,9.633047468883243,10.140730015174467,13.443322343763244,0.0009538346620844238,0.4330127018922193,0.4330127018922193
