scenario,controller,run,rms_deg,max_deg,avg_torque
high_noise_high_disturb,AI,1,6.0195808775619115,14.021373049307648,0.007883018383109732
high_noise_high_disturb,PD,2,7.237430483921622,13.109898565583025,0.008315072273059592
high_noise_high_disturb,AI,2,38.37498114523429,59.29051685797828,0.007518073057337959
high_noise_high_disturb,PD,3,30.10137194480423,40.53486310828093,0.007400730064043403
high_noise_high_disturb,AI,3,65.5986265485455,100.77264381525575,0.007954330372064687
high_noise_high_disturb,PD,4,6.285740860796574,10.97870765995186,0.007866196546061879
high_noise_high_disturb,AI,4,60.76672584469044,91.43168815281311,0.007857779201619704
high_noise_high_disturb,PD,5,8.894649617107216,14.953353952739455,0.007616388129985509
high_noise_high_disturb,AI,5,22.351832819090227,36.65807973578131,0.007619189237584642
high_noise_high_disturb,PD,6,39.39942694546635,64.73710452134765,0.007535463784825252
high_noise_high_disturb,AI,6,33.20877309096032,44.11245282932254,0.007891416744356616
high_noise_high_disturb,PD,7,36.72492161496389,57.961308706438025,0.007713227240952906
high_noise_high_disturb,AI,7,48.80252272630861,81.47356537386042,0.0077171538583083055
high_noise_high_disturb,PD,8,17.4481456633351,32.68996629109161,0.007844391753605424
high_noise_high_disturb,AI,8,7.394003195744993,21.411628348728346,0.00775431047141861
high_noise_high_disturb,PD,9,49.01071109280693,71.1733539857474,0.00729829684071296
high_noise_high_disturb,AI,9,27.982034921781676,54.92199879217657,0.007781776317970735
high_noise_high_disturb,PD,10,36.63549317684504,55.05855625424444,0.007445797021522472
high_noise_high_disturb,AI,10,3.707058682268344,16.86280109660381,0.007676593447686147
high_noise_high_disturb,PD,11,61.19243473944827,95.61553136917799,0.007655744793170928
high_noise_high_disturb,AI,11,5.04744735125038,19.577662644627345,0.007586249503360415
high_noise_high_disturb,PD,12,22.63089573905666,29.943259462222098,0.00768186406545048
high_noise_high_disturb,AI,12,28.788110892856366,51.08198981282983,0.007530326859543621
high_noise_high_disturb,PD,13,29.47780630331545,49.474906337625136,0.007696068910891893
high_noise_high_disturb,AI,13,26.219537289005363,54.61693363888728,0.007670224855685216
high_noise_high_disturb,PD,14,46.626259666201335,71.35919516358585,0.007479739711304778
high_noise_high_disturb,AI,14,30.07792869679988,50.476820078032034,0.00742533449372387
high_noise_high_disturb,PD,15,38.28802129052673,57.140713525405076,0.00749218043991695
high_noise_high_disturb,AI,15,15.338784253335175,27.28380626514652,0.007183489409807878
high_noise_high_disturb,PD,16,33.12514181841832,51.37882029915522,0.007606672566375659
high_noise_high_disturb,AI,16,24.223619021320864,31.50747135400344,0.007426546394792206
high_noise_high_disturb,PD,17,18.66256045704896,24.16934851050213,0.00798555805276398
high_noise_high_disturb,AI,17,25.746790799841786,41.53887259405145,0.00788049862070803
high_noise_high_disturb,PD,18,23.80903480853121,37.41784094927797,0.007598434503189162
high_noise_high_disturb,AI,18,19.87731702186052,31.400397862018952,0.007590866146214858
high_noise_high_disturb,PD,19,8.528205976841045,13.849552582333493,0.007862625240387456
high_noise_high_disturb,AI,19,30.10347839878541,59.70943756043412,0.007579004733951664
